2theta,intensity
19.99,58.737152
20.0,73.42144
20.01,55.800293
20.02,89.57416
20.03,66.07929
20.04,82.23201
20.05,64.61086
20.06,54.331863
20.07,64.61086
20.08,55.800293
20.09,80.76358
20.1,60.20558
20.11,52.863438
20.12,61.674007
20.13,60.20558
20.14,63.142437
20.15,60.20558
20.16,58.737152
20.17,58.737152
20.18,71.95301
20.19,73.42144
20.2,46.98972
20.21,74.88987
20.22,82.23201
20.23,77.82673
20.24,58.737152
20.25,71.95301
20.26,58.737152
20.27,60.20558
20.28,57.268723
20.29,61.674007
20.3,57.268723
20.31,52.863438
20.32,60.20558
20.33,45.521294
20.34,54.331863
20.35,63.142437
20.36,55.800293
20.37,58.737152
20.38,76.3583
20.39,63.142437
20.4,57.268723
20.41,66.07929
20.42,79.29515
20.43,54.331863
20.44,63.142437
20.45,60.20558
20.46,49.92658
20.47,49.92658
20.48,52.863438
